Number of unique companies : 99
Eight25Media
ParaQum
Unicorn Solutions
Allion Technologies
Waterlily Labs
ADL
Senzmate
DirectFN
4 Axis
LDI Solutions
Embla
John Keels IT
Agoysoft (Pvt) Ltd
Mobitel
Sampath IT
Inoovalabs Technologies
99x
Sanmark
OrangeHRM
Elzain Agro
LinearSix
WSO2
Nimbus Ventures
Cambio
Pay Media
Creative Software
Global Market Technologies
Konekt
ACCELR
Arthur C Clarke Institute
Kingslake
Company name
DreamsIT
Insighture
Techwire Lanka
Eyepax
InfoSoft
Vidura Solutions
LSEG
Emojot
hSenid Mobile
Binary Technologies
iLabs
Ingenii Lanka pvt ltd
Cloud Eight
Scienter
LKDomain Registry
Pearson
Geveo Australasia
Virtusa
Dialog
Intervest
N-able
Compulin
ConnX Pvt Ltd
Tharanga Enterprises
Third Space Global
Codegen
ILT Software
Rootcode Labs
Different Technologies
Informatics
Simcentric
Invicta Innovation
Calcey
Omobio
Huex
Zone24
Syntax Genie
Presistent Systems
Vizuamatix
Port Authority
Fortude
Data Capture Expert
EchonLabs
Winnipeg Technologies
Niogin Technologies
MIT
Limark Technologies
ATLink
Panaceata
LiveRoom
hasthiyaIT
UNICOM SD PVT LTD
Mitra Innovation
Axienta
jWare Automation
Arimac
Speed IT
Kodez
Swissranks
NCINGA
Hashnate
CodeGen
IFS
Commercial Bank
HasthiyaIT
3axislabs
Infinity Inovators
